没戏	没辙	0.27421507
只管	尽管	0.28777385
GDP	生产力	0.5488789
包袱	段子	0.6621662
由此	通过	0.6688367
日期	时间	0.7922928
爱面子	好高骛远	0.024953334
严厉	严谨	0.7155055
一方面	一边	0
托福	GRE	-0.01609984
亏	幸亏	0.46168435
蹩脚	差强人意	0
容易	顺利	0.7743418
悲喜	大悲大喜	0.12142442
老气	土气	0.16631135
狭隘	狭窄	0.35665092
抄袭	克隆	0.3589267
害臊	腼腆	0.034907915
幻境	红楼梦	0.08890447
依稀	清晰	0.6904156
权限	权力	0.8262556
伟大	壮烈	0.12231798
娇艳	幽美	0.33208805
理解	理会	0.47061944
酣睡	打鼾	0.040027764
自然	环境	0.8492749
振兴	建设	0.69548464
节日	假日	0.7583871
的哥	司机	0.7111881
几乎	差点儿	0.2847379
江湖	红尘	0.23029256
路子	后门	0.3938886
牛脾气	我行我素	0
物品	物质	0.8017604
塞车	拥挤	0.6246413
面	首	0.74961686
冷僻	晦涩	0.29639676
免费	便宜	0.713886
发票	账单	0.3449341
回收站	垃圾篓	0
典型	代表	0.7197727
必须	必需	0.6445543
出神	发楞	0
琢磨	镂刻	0
身姿	身手	0.41105592
质量	重量	0.71696675
事变	后院起火	0.002586849
大小	多少	0.66372997
信物	证件	0.47918728
牺牲	粉身碎骨	0.24970639
豆蔻年华	黄金时代	0
血液	红细胞	0.5946229
硅谷	中关村	0.3829067
天赋	技能	0.59759575
酷	爽	0.7438441
旅客	驴友	0.4319374
隆重	重要	0.47958475
候选人	备胎	0.4294828
平凡	平庸	0.5622338
了不得	好	0.4039035
鸣谢	酬答	0
线路	行程	0.7749615
多角度	多元化	0.29150236
要面子	虚荣心	0.28021115
许可证	执照	0.6977656
是非	方圆	0.40499517
崛起	凸起	0.5350932
工作日	开放日	0.45182344
大	高	0.8693843
吸引力	地磁力	0
右翼	左派	0.259221
和谐	平安	0.71532285
商标	符号	0.64027524
违纪	贪污	0.47777265
环境	生态	0.8598755
实践	进行	0.7422102
买卖	营销	0.79592156
合理	合理性	0.52559197
辛勤	夜以继日	0.5086496
手续	过程	0.7158221
渣	废品	0.5332288
高峰	山巅	0.06915807
收费	缴纳	0.6983057
享受	大快朵颐	0.2890116
怯懦	胆小鬼	0
杂事	闲事	0.045001306
言语	语言	0.8099396
借口	理由	0.64966613
与	以及	0.745192
怯弱	狗熊	-0.029040039
惠顾	照顾	0
迷人	气质	0.77402633
果粉	米粉	0.32923958
榜样	样子	0.6924951
愚钝	大智若愚	0
打假	扫黄	0.4080627
均衡	全面	0.73057485
制约	收敛	0.38789815
经营者	纳税人	0.71250546
瘦弱	苗条	0.7810236
前途	道路	0.54818845
遛弯	走路	0.5887501
爱心	慈善	0.72781336
光盘	硬盘	0.22672886
一体化	集成化	0
销魂	陶醉	0.5199023
光荣	流芳百世	0.28193292
观后感	影评	0.05822839
恼怒	愤慨	0.2159445
帮助	赞助	0.7687364
拥戴	崇拜	0.2879734
扯淡	闲聊	0.40007365
旅程	旅行	0.7465017
男孩	小伙子	0.6728475
见解	意见	0.6665573
穷苦	贫穷	0.50937825
生命	性命	0.63651264
滚蛋	滚开	0.31495076
维他命	维生素	0.9371443
